operational_score,code,label,family,template_code,template_label,trade_direction,entry_rule,take_profit_pct,stop_loss_pct,time_cap_days,state_size,state_signature,feature_keys,min_trade_return_pct,tickers_with_matches,total_occurrences,successful_occurrences,success_rate_pct,profitable_trades,profitable_trade_rate_pct,take_profit_trades,take_profit_rate_pct,stop_loss_trades,stop_loss_rate_pct,time_cap_trades,time_cap_rate_pct,average_asset_move_pct,average_trade_return_pct,net_trade_return_pct,cumulative_return_pct,profit_factor,first_trade_date,last_trade_date,exit_mode,atr_target_mult,atr_stop_mult
568.6086,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_atr14,range_position_5d,range_position_10d",0.0000,73,227,216,95.1542,216,95.1542,216,95.1542,10,4.4053,1,0.4405,0.7713,0.7713,175.0925,465.1578,5.2802,2025-04-22,2026-04-13,percent,,
556.4757,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_atr14,range_position_5d,range_position_10d",0.0000,73,227,214,94.2731,214,94.2731,214,94.2731,12,5.2863,1,0.4405,0.8216,0.8216,186.4925,531.0195,4.8132,2025-04-22,2026-04-13,percent,,
542.1192,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_2_sl4_cap5,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D",long,open,1.2000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_atr14,range_position_5d,range_position_10d",0.0000,73,227,211,92.9515,211,92.9515,211,92.9515,14,6.1674,2,0.8811,0.8587,0.8587,194.9332,583.8841,4.3455,2025-04-22,2026-04-13,percent,,
538.6560,asset_long_open_tp1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_range20,range_position_5d,range_position_10d",0.0000,75,246,231,93.9024,231,93.9024,231,93.9024,14,5.6911,1,0.4065,0.7077,0.7077,174.0925,457.2823,4.0592,2025-04-22,2026-04-13,percent,,
534.1747,asset_long_open_tp1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"gap_vs_atr14,range_position_5d,drawdown_10d",0.0000,73,260,243,93.4615,243,93.4615,243,93.4615,15,5.7692,2,0.7692,0.6964,0.6964,181.0753,496.7091,3.9241,2025-04-22,2026-04-13,percent,,
532.1514,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_range20,range_position_5d,range_position_10d",0.0000,75,246,229,93.0894,229,93.0894,229,93.0894,16,6.5041,1,0.4065,0.7601,0.7601,186.9925,531.5315,3.8809,2025-04-22,2026-04-13,percent,,
526.3581,asset_long_open_tp1_1_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_1_sl4_cap5,"Discovery Acao: compra no open, alvo +1.1% / stop -4% / cap 5D",long,open,1.1000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"gap_vs_atr14,range_position_5d,drawdown_10d",0.0000,73,260,240,92.3077,240,92.3077,240,92.3077,17,6.5385,3,1.1538,0.7451,0.7451,193.7145,574.4021,3.7561,2025-04-22,2026-04-13,percent,,
526.3169,asset_long_open_tp1_3_sl4_cap5__3f__gap_vs_atr14=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1.3% / stop -4% / cap 5D | Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_3_sl4_cap5,"Discovery Acao: compra no open, alvo +1.3% / stop -4% / cap 5D",long,open,1.3000,4.0000,5,3,Gap vs ATR14: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_atr14,range_position_5d,range_position_10d",0.0000,73,227,208,91.6300,208,91.6300,208,91.6300,17,7.4890,2,0.8811,0.8816,0.8816,200.1332,616.9234,3.8482,2025-04-22,2026-04-13,percent,,
522.6946,asset_long_open_tp1_2_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__range_position_10d=upper_band,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior",asset_state_discovery_round1,asset_long_open_tp1_2_sl4_cap5,"Discovery Acao: compra no open, alvo +1.2% / stop -4% / cap 5D",long,open,1.2000,4.0000,5,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Posicao no range 10D: fechou na metade superior,"gap_vs_range20,range_position_5d,range_position_10d",0.0000,75,246,226,91.8699,226,91.8699,226,91.8699,18,7.3171,2,0.8130,0.8005,0.8005,196.9332,594.6646,3.6517,2025-04-22,2026-04-13,percent,,
516.7388,asset_long_open_tp1_sl4_cap5__3f__gap_vs_range20=rel_soft_dn__range_position_5d=upper_band__drawdown_10d=dd_1_3,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,Gap vs range medio 20D: levemente abaixo; Posicao no range 5D: fechou na metade superior; Queda desde maxima 10D: 1% a 3% abaixo da maxima,"gap_vs_range20,range_position_5d,drawdown_10d",0.0000,73,279,258,92.4731,258,92.4731,258,92.4731,19,6.8100,2,0.7168,0.6454,0.6454,180.0753,488.3939,3.3109,2025-04-22,2026-04-13,percent,,
516.2940,asset_long_open_tp1_sl4_cap5__3f__sma20_vs_sma50=dn_1_5__drawdown_10d=dd_1_3__atr_return_5d=rel_soft_up,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D | MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima",asset_state_discovery_round1,asset_long_open_tp1_sl4_cap5,"Discovery Acao: compra no open, alvo +1% / stop -4% / cap 5D",long,open,1.0000,4.0000,5,3,MM20 vs MM50: abaixo leve; Queda desde maxima 10D: 1% a 3% abaixo da maxima; Retorno 5D normalizado por ATR: levemente acima,"sma20_vs_sma50,drawdown_10d,atr_return_5d",0.0000,72,267,244,91.3858,244,91.3858,241,90.2622,14,5.2434,12,4.4944,0.6546,0.6546,174.7865,460.3456,3.6010,2025-04-22,2026-04-13,percent,,
