ticker,strategy_code,template_code,template_label,entry_rule,exit_mode,target_pct,stop_pct,holding_days,state_size,state_signature,feature_keys,m_trades,m_success,m_win_pct,m_avg_return_pct,m_net_return_pct,m_take_profit,m_stop_loss,m_profit_factor,m_returns,m1_trades,m1_success,m1_win_pct,m1_avg_return_pct,m2_trades,m2_success,m2_win_pct,m2_avg_return_pct,m3_trades,m3_success,m3_win_pct,m3_avg_return_pct,v_trades,v_success,v_win_pct,v_avg_return_pct,v_profit_factor,v_returns,o_trades,o_success,o_win_pct,o_avg_return_pct,o_profit_factor,o_returns,first_trade_date,last_trade_date,wilson_ci95_lower_pct,binomial_p_mining,binomial_p_val,bootstrap_avg_return_lower_pct,bootstrap_avg_return_upper_pct,walk_forward_status,fdr_q_value,final_score
AXIA6,r10_swing_AXIA6_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=near__rsi_14=neutral_high__sma5_vs_sma20=up_1_5,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: perto do equilibrio; RSI 14 periodos: RSI neutro alto; MM5 vs MM20: acima leve,"close_vs_sma200,rsi_14,sma5_vs_sma20",34,32,94.1176,7.8799,267.9173,32,0,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;5.958675;5.958675;8.000000;8.000000;8.000000;8.000000,20,20,100.0000,8.0000,6,6,100.0000,8.0000,8,6,75.0000,7.4897,18,18,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2019-12-17,2025-02-07,80.9061,1.34033e-07,1.10526e-05,7.6998,8.0000,PASSOU 3/3 (100%/100%/75%),1.26592e-06,799.0389
PSSA3,r10_swing_PSSA3_close_tp6_0_sl4_0_cap20__3f__close_vs_ema200=near__day_of_month_bucket=second_half__drawdown_20d=dd_6_10,close_tp6_0_sl4_0_cap20,close -> alvo 6% / stop 4% em ate 20 pregoes,close,target_stop_swing,6.0000,4.0000,20,3,Fechamento vs EMA200: perto do equilibrio; Dia do mes (bucket): segunda metade; Queda desde maxima 20D: 6% a 10% abaixo da maxima,"close_vs_ema200,day_of_month_bucket,drawdown_20d",40,40,100.0000,6.0000,240.0000,40,0,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,18,18,100.0000,6.0000,2,2,100.0000,6.0000,20,20,100.0000,6.0000,20,20,100.0000,6.0000,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,8,8,100.0000,6.0000,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,2019-05-23,2026-03-17,91.2375,1.27544e-10,3.87556e-06,6.0000,6.0000,PASSOU 2/2 (100%/—/100%),8.84985e-09,796.9351
AXIA6,r10_swing_AXIA6_open_tp8_0_sl4_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,open_tp8_0_sl4_0_cap20,open -> alvo 8% / stop 4% em ate 20 pregoes,open,target_stop_swing,8.0000,4.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,28,93.3333,7.8639,235.9173,28,0,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;5.958675;5.958675;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,8,8,100.0000,8.0000,2,2,100.0000,8.0000,20,18,90.0000,7.7959,22,22,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2019-12-26,2025-02-13,78.6762,1.0339e-06,1.36482e-06,7.6598,8.0000,PASSOU 2/2 (100%/—/90%),5.78033e-06,792.9845
AXIA6,r10_swing_AXIA6_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,28,93.3333,7.8639,235.9173,28,0,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;5.958675;5.958675;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,8,8,100.0000,8.0000,2,2,100.0000,8.0000,20,18,90.0000,7.7959,22,22,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2019-12-26,2025-02-13,78.6762,1.0339e-06,1.36482e-06,7.6598,8.0000,PASSOU 2/2 (100%/—/90%),5.78033e-06,792.9845
AXIA6,r10_swing_AXIA6_open_tp6_0_sl4_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,open_tp6_0_sl4_0_cap20,open -> alvo 6% / stop 4% em ate 20 pregoes,open,target_stop_swing,6.0000,4.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,30,100.0000,6.0000,180.0000,30,0,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,8,8,100.0000,6.0000,2,2,100.0000,6.0000,20,20,100.0000,6.0000,22,22,100.0000,6.0000,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,0,0,0.0000,0.0000,0.0000,,2019-12-26,2025-02-13,88.6483,2.16546e-08,1.36482e-06,6.0000,6.0000,PASSOU 2/2 (100%/—/100%),3.28966e-07,789.6224
AXIA6,r10_swing_AXIA6_close_tp6_0_sl4_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,close_tp6_0_sl4_0_cap20,close -> alvo 6% / stop 4% em ate 20 pregoes,close,target_stop_swing,6.0000,4.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,30,100.0000,6.0000,180.0000,30,0,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,8,8,100.0000,6.0000,2,2,100.0000,6.0000,20,20,100.0000,6.0000,22,22,100.0000,6.0000,INF,6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000;6.000000,0,0,0.0000,0.0000,0.0000,,2019-12-23,2025-02-12,88.6483,2.16546e-08,1.36482e-06,6.0000,6.0000,PASSOU 2/2 (100%/—/100%),3.28966e-07,789.6224
CMIN3,r10_swing_CMIN3_open_tp8_0_sl4_0_cap20__3f__close_vs_sma200=near__close_vs_sma5=near__vol_ratio_5v20=very_low,open_tp8_0_sl4_0_cap20,open -> alvo 8% / stop 4% em ate 20 pregoes,open,target_stop_swing,8.0000,4.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM5: perto do equilibrio; Volatilidade 5D vs 20D: muito baixo,"close_vs_sma200,close_vs_sma5,vol_ratio_5v20",34,32,94.1176,7.2941,248.0000,32,2,32.0000,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;-4.000000;-4.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,4,4,100.0000,8.0000,30,28,93.3333,7.2000,16,16,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2022-12-07,2025-09-19,80.9061,1.34033e-07,3.1686e-05,6.2353,8.0000,PASSOU 2/2 (—/100%/93%),1.26592e-06,786.7668
CMIN3,r10_swing_CMIN3_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=near__close_vs_sma5=near__vol_ratio_5v20=very_low,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM5: perto do equilibrio; Volatilidade 5D vs 20D: muito baixo,"close_vs_sma200,close_vs_sma5,vol_ratio_5v20",34,32,94.1176,7.2353,246.0000,32,2,25.6000,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;-5.000000;-5.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,4,4,100.0000,8.0000,30,28,93.3333,7.1333,16,16,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2022-12-07,2025-09-19,80.9061,1.34033e-07,3.1686e-05,6.0882,8.0000,PASSOU 2/2 (—/100%/93%),1.26592e-06,785.5900
AXIA3,r10_swing_AXIA3_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=up_1_5__month_of_year=q1__sma5_vs_sma20=up_1_5,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: acima leve; Mes do ano (trimestre): primeiro trimestre; MM5 vs MM20: acima leve,"close_vs_sma200,month_of_year,sma5_vs_sma20",30,28,93.3333,7.1333,214.0000,28,2,22.4000,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;-5.000000;-5.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,10,8,80.0000,5.4000,20,20,100.0000,8.0000,0,0,0.0000,0.0000,18,18,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2020-01-02,2025-03-06,78.6762,1.0339e-06,1.10526e-05,5.8333,8.0000,PASSOU 2/2 (80%/100%/—),5.78033e-06,777.4172
PETR3,r10_swing_PETR3_open_tp8_0_sl5_0_cap20__3f__close_vs_ema200=dn_1_5__gap_pct=flat__sma20_vs_sma50=dn_1_5,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs EMA200: abaixo leve; Gap da abertura: neutro; MM20 vs MM50: abaixo leve,"close_vs_ema200,gap_pct,sma20_vs_sma50",32,28,87.5000,7.8858,252.3445,30,0,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;6.172229;6.172229;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,10,10,100.0000,8.0000,10,8,80.0000,7.6344,12,10,83.3333,8.0000,18,18,100.0000,8.0000,INF,8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000;8.000000,0,0,0.0000,0.0000,0.0000,,2019-08-13,2025-11-07,71.9314,1.10526e-05,1.10526e-05,7.7144,8.0000,PASSOU 3/3 (100%/80%/83%),3.494e-05,772.2316
