rank,ticker,strategy_code,template_code,template_label,entry_rule,exit_mode,target_pct,stop_pct,holding_days,state_size,state_signature,feature_keys,m_trades,m_win_pct,m_avg_return_pct,m_profit_factor,m_take_profit,m_stop_loss,m1_trades,m1_win_pct,m1_avg_return_pct,m2_trades,m2_win_pct,m2_avg_return_pct,m3_trades,m3_win_pct,m3_avg_return_pct,v_trades,v_win_pct,v_avg_return_pct,v_profit_factor,o_trades,o_win_pct,o_avg_return_pct,o_profit_factor,wilson_ci95_lower_pct,binomial_p_mining,binomial_p_val,bootstrap_avg_return_lower_pct,bootstrap_avg_return_upper_pct,walk_forward_status,fdr_q_value,final_score,first_trade_date,last_trade_date
1,ALOS3,r10_swing_ALOS3_close_tp4_0_sl4_0_cap15__3f__close_vs_ema200=dn_5_10__close_vs_sma20=up_1_5__sma5_vs_sma20=up_1_5,close_tp4_0_sl4_0_cap15,close -> alvo 4% / stop 4% em ate 15 pregoes,close,target_stop_swing,4.0000,4.0000,15,3,Fechamento vs EMA200: abaixo forte; Fechamento vs MM20: acima leve; MM5 vs MM20: acima leve,"close_vs_ema200,close_vs_sma20,sma5_vs_sma20",32,93.7500,3.5000,15.0000,30,2,2,100.0000,4.0000,14,85.7143,2.8571,16,100.0000,4.0000,20,100.0000,4.0000,INF,0,0.0000,0.0000,0.0000,79.8525,3.72109e-07,3.87556e-06,2.7500,4.0000,PASSOU 2/2 (—/85%/100%),2.72006e-06,716.7801,2020-12-02,2025-02-13
2,ALOS3,r10_swing_ALOS3_close_tp4_0_sl4_0_cap20__3f__close_vs_ema200=dn_5_10__close_vs_sma20=up_1_5__sma5_vs_sma20=up_1_5,close_tp4_0_sl4_0_cap20,close -> alvo 4% / stop 4% em ate 20 pregoes,close,target_stop_swing,4.0000,4.0000,20,3,Fechamento vs EMA200: abaixo forte; Fechamento vs MM20: acima leve; MM5 vs MM20: acima leve,"close_vs_ema200,close_vs_sma20,sma5_vs_sma20",32,93.7500,3.5000,15.0000,30,2,2,100.0000,4.0000,14,85.7143,2.8571,16,100.0000,4.0000,20,100.0000,4.0000,INF,0,0.0000,0.0000,0.0000,79.8525,3.72109e-07,3.87556e-06,2.7500,4.0000,PASSOU 2/2 (—/85%/100%),2.72006e-06,716.7801,2020-12-02,2025-02-13
3,ALOS3,r10_swing_ALOS3_open_tp4_0_sl4_0_cap20__3f__month_of_year=q2__sma20_slope_5d=up_1_5__sma20_vs_sma50=up_1_5,open_tp4_0_sl4_0_cap20,open -> alvo 4% / stop 4% em ate 20 pregoes,open,target_stop_swing,4.0000,4.0000,20,3,Mes do ano (trimestre): segundo trimestre; Inclinacao da MM20 em 5D: acima leve; MM20 vs MM50: acima leve,"month_of_year,sma20_slope_5d,sma20_vs_sma50",48,87.5000,3.0000,7.0000,42,6,0,0.0000,0.0000,26,84.6154,2.7692,22,90.9091,3.2727,26,100.0000,4.0000,INF,12,0.0000,-4.0000,0.0000,75.2993,1.01921e-07,1.71006e-07,2.1667,3.6667,PASSOU 2/2 (—/84%/90%),1.08794e-06,699.7107,2021-04-09,2026-04-30
1,AXIA3,r10_swing_AXIA3_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=up_1_5__month_of_year=q1__sma5_vs_sma20=up_1_5,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: acima leve; Mes do ano (trimestre): primeiro trimestre; MM5 vs MM20: acima leve,"close_vs_sma200,month_of_year,sma5_vs_sma20",30,93.3333,7.1333,22.4000,28,2,10,80.0000,5.4000,20,100.0000,8.0000,0,0.0000,0.0000,18,100.0000,8.0000,INF,0,0.0000,0.0000,0.0000,78.6762,1.0339e-06,1.10526e-05,5.8333,8.0000,PASSOU 2/2 (80%/100%/—),5.78033e-06,777.4172,2020-01-02,2025-03-06
2,AXIA3,r10_swing_AXIA3_open_tp4_0_sl4_0_cap15__3f__close_vs_sma200=up_1_5__drawdown_5d=dd_1_3__volume_spike_1d=very_low,open_tp4_0_sl4_0_cap15,open -> alvo 4% / stop 4% em ate 15 pregoes,open,target_stop_swing,4.0000,4.0000,15,3,Fechamento vs MM200: acima leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Spike de volume vs maximo 5D: muito baixo,"close_vs_sma200,drawdown_5d,volume_spike_1d",38,94.7368,3.5789,18.0000,36,2,20,90.0000,3.2000,12,100.0000,4.0000,6,100.0000,4.0000,16,100.0000,4.0000,INF,0,0.0000,0.0000,0.0000,82.7142,1.74301e-08,3.1686e-05,2.9474,4.0000,PASSOU 3/3 (90%/100%/100%),2.95016e-07,725.8879,2018-05-07,2025-07-25
3,AXIA3,r10_swing_AXIA3_open_tp4_0_sl4_0_cap20__3f__close_vs_sma200=up_1_5__drawdown_5d=dd_1_3__volume_spike_1d=very_low,open_tp4_0_sl4_0_cap20,open -> alvo 4% / stop 4% em ate 20 pregoes,open,target_stop_swing,4.0000,4.0000,20,3,Fechamento vs MM200: acima leve; Queda desde maxima 5D: 1% a 3% abaixo da maxima; Spike de volume vs maximo 5D: muito baixo,"close_vs_sma200,drawdown_5d,volume_spike_1d",38,94.7368,3.5789,18.0000,36,2,20,90.0000,3.2000,12,100.0000,4.0000,6,100.0000,4.0000,16,100.0000,4.0000,INF,0,0.0000,0.0000,0.0000,82.7142,1.74301e-08,3.1686e-05,2.9474,4.0000,PASSOU 3/3 (90%/100%/100%),2.95016e-07,725.8879,2018-05-07,2025-07-25
1,AXIA6,r10_swing_AXIA6_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=near__rsi_14=neutral_high__sma5_vs_sma20=up_1_5,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: perto do equilibrio; RSI 14 periodos: RSI neutro alto; MM5 vs MM20: acima leve,"close_vs_sma200,rsi_14,sma5_vs_sma20",34,94.1176,7.8799,INF,32,0,20,100.0000,8.0000,6,100.0000,8.0000,8,75.0000,7.4897,18,100.0000,8.0000,INF,0,0.0000,0.0000,0.0000,80.9061,1.34033e-07,1.10526e-05,7.6998,8.0000,PASSOU 3/3 (100%/100%/75%),1.26592e-06,799.0389,2019-12-17,2025-02-07
2,AXIA6,r10_swing_AXIA6_open_tp8_0_sl4_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,open_tp8_0_sl4_0_cap20,open -> alvo 8% / stop 4% em ate 20 pregoes,open,target_stop_swing,8.0000,4.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,93.3333,7.8639,INF,28,0,8,100.0000,8.0000,2,100.0000,8.0000,20,90.0000,7.7959,22,100.0000,8.0000,INF,0,0.0000,0.0000,0.0000,78.6762,1.0339e-06,1.36482e-06,7.6598,8.0000,PASSOU 2/2 (100%/—/90%),5.78033e-06,792.9845,2019-12-26,2025-02-13
3,AXIA6,r10_swing_AXIA6_open_tp8_0_sl5_0_cap20__3f__close_vs_sma200=near__close_vs_sma50=up_1_5__rsi_14=neutral_high,open_tp8_0_sl5_0_cap20,open -> alvo 8% / stop 5% em ate 20 pregoes,open,target_stop_swing,8.0000,5.0000,20,3,Fechamento vs MM200: perto do equilibrio; Fechamento vs MM50: acima leve; RSI 14 periodos: RSI neutro alto,"close_vs_sma200,close_vs_sma50,rsi_14",30,93.3333,7.8639,INF,28,0,8,100.0000,8.0000,2,100.0000,8.0000,20,90.0000,7.7959,22,100.0000,8.0000,INF,0,0.0000,0.0000,0.0000,78.6762,1.0339e-06,1.36482e-06,7.6598,8.0000,PASSOU 2/2 (100%/—/90%),5.78033e-06,792.9845,2019-12-26,2025-02-13
1,BBAS3,r10_swing_BBAS3_close_tp4_0_sl4_0_cap15__3f__close_vs_sma200=up_5_10__month_of_year=q1__prev_ret_20d=shock_up,close_tp4_0_sl4_0_cap15,close -> alvo 4% / stop 4% em ate 15 pregoes,close,target_stop_swing,4.0000,4.0000,15,3,Fechamento vs MM200: acima forte; Mes do ano (trimestre): primeiro trimestre; Retorno acumulado 20D: choque de alta,"close_vs_sma200,month_of_year,prev_ret_20d",32,100.0000,4.0000,INF,32,0,0,0.0000,0.0000,26,100.0000,4.0000,6,100.0000,4.0000,28,100.0000,4.0000,INF,8,100.0000,4.0000,INF,89.2817,7.73015e-09,6.07833e-08,4.0000,4.0000,PASSOU 2/2 (—/100%/100%),1.57101e-07,756.6816,2022-01-25,2026-02-06
