book,code,label,trade_direction,entry_rule,take_profit_pct,stop_loss_pct,time_cap_days,state_size,state_signature,feature_keys,tickers_with_matches,total_occurrences,success_rate_pct,profitable_trade_rate_pct,take_profit_rate_pct,average_trade_return_pct,net_trade_return_pct,profit_factor
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__sma20_vs_sma50=dn_1_5__sma50_slope_10d=near__intraday_return_prev=flat,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Retorno intraday do candle de referencia: neutro",long,open,1.0,2.0,1,3,MM20 vs MM50: abaixo leve; Inclinacao da MM50 em 10D: perto do equilibrio; Retorno intraday do candle de referencia: neutro,"sma20_vs_sma50,sma50_slope_10d,intraday_return_prev",1,24,95.8333,95.8333,91.6667,0.8365,20.0755,11.0377
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__gap_vs_range20=rel_near__streak_direction=up_1__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Gap vs range medio 20D: perto do normal; Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Gap vs range medio 20D: perto do normal; Sequencia de altas/quedas: alta no ultimo pregao; Dia da semana: terca-feira,"gap_vs_range20,streak_direction,day_of_week",2,23,91.3043,91.3043,91.3043,0.8076,18.5740,21.1268
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__gap_pct=flat__close_vs_ema9=near__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Gap da abertura: neutro; Fechamento vs EMA9: perto do equilibrio; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Gap da abertura: neutro; Fechamento vs EMA9: perto do equilibrio; Dia da semana: terca-feira,"gap_pct,close_vs_ema9,day_of_week",1,22,90.9091,90.9091,90.9091,0.7273,16.0000,5.0000
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__prev_ret_5d=up_1_3__sma50_slope_10d=near__close_vs_ema21=near,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Retorno acumulado 5D: alta de 1% a 3%; Inclinacao da MM50 em 10D: perto do equilibrio; Fechamento vs EMA21: perto do equilibrio",long,open,1.0,2.0,1,3,Retorno acumulado 5D: alta de 1% a 3%; Inclinacao da MM50 em 10D: perto do equilibrio; Fechamento vs EMA21: perto do equilibrio,"prev_ret_5d,sma50_slope_10d,close_vs_ema21",1,21,95.2381,95.2381,95.2381,0.8571,18.0000,10.0000
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__gap_pct=flat__intraday_return_prev=flat__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Gap da abertura: neutro; Retorno intraday do candle de referencia: neutro; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Gap da abertura: neutro; Retorno intraday do candle de referencia: neutro; Dia da semana: terca-feira,"gap_pct,intraday_return_prev,day_of_week",1,20,95.0000,95.0000,90.0000,0.8204,16.4084,9.2042
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__gap_pct=flat__sma50_slope_10d=up_1_5__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Gap da abertura: neutro; Inclinacao da MM50 em 10D: acima leve; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Gap da abertura: neutro; Inclinacao da MM50 em 10D: acima leve; Dia da semana: terca-feira,"gap_pct,sma50_slope_10d,day_of_week",1,20,90.0000,90.0000,90.0000,0.7000,14.0000,4.5000
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__gap_vs_range20=rel_near__close_vs_ema9=near__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Gap vs range medio 20D: perto do normal; Fechamento vs EMA9: perto do equilibrio; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Gap vs range medio 20D: perto do normal; Fechamento vs EMA9: perto do equilibrio; Dia da semana: terca-feira,"gap_vs_range20,close_vs_ema9,day_of_week",1,20,90.0000,90.0000,90.0000,0.7000,14.0000,4.5000
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__volume_ratio_20d=very_low__bb_position_20=upper_band__close_vs_ema9=near,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Volume vs media 20D: muito baixo; Posicao nas Bandas de Bollinger 20D: fechou na metade superior; Fechamento vs EMA9: perto do equilibrio",long,open,1.0,2.0,1,3,Volume vs media 20D: muito baixo; Posicao nas Bandas de Bollinger 20D: fechou na metade superior; Fechamento vs EMA9: perto do equilibrio,"volume_ratio_20d,bb_position_20,close_vs_ema9",1,20,90.0000,90.0000,90.0000,0.7000,14.0000,4.5000
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__prev_ret_1d=flat__positive_days_5d=strong__positive_days_10d=very_strong,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Retorno acumulado 1D: neutro; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D; Dias positivos nos ultimos 10 pregoes: 8 a 10 dias positivos em 10D",long,open,1.0,2.0,1,3,Retorno acumulado 1D: neutro; Dias positivos nos ultimos 5 pregoes: 4 a 5 dias positivos em 5D; Dias positivos nos ultimos 10 pregoes: 8 a 10 dias positivos em 10D,"prev_ret_1d,positive_days_5d,positive_days_10d",1,18,94.4444,94.4444,94.4444,0.9293,16.7266,62.1800
daytrade-cobertura-10,asset_long_open_tp1_sl2_cap1__3f__prev_ret_2d=flat__intraday_return_prev=flat__day_of_week=tue,"Discovery Acao: compra no open, alvo +1% / stop -2% / cap 1D | Retorno acumulado 2D: neutro; Retorno intraday do candle de referencia: neutro; Dia da semana: terca-feira",long,open,1.0,2.0,1,3,Retorno acumulado 2D: neutro; Retorno intraday do candle de referencia: neutro; Dia da semana: terca-feira,"prev_ret_2d,intraday_return_prev,day_of_week",1,18,94.4444,94.4444,94.4444,0.8752,15.7532,13.6349
